B DK D GR E F IRL I L NL A P SF S GB EK EP
INT 6 3 4 4 4 4 4 4 4 4 4 4 2 2 0 4 4
EXP 6 6 6 6 2 3 2 4 4 4 4 2 4 4 6 4 4
VOT 2 3 4 2 6 6 2 6 2 3 2 4 2 2 4 4 3
RUL 3 3 3 3 3 4 2 3 3 4 2 3 2 2 4 3 2
POW 2 2 2 2 2 4 0 2 2 2 2 2 2 2 4 0 2
STR 4 3 4 3 3 2 2 4 2 4 4 2 2 2 2 3 6
BES 4 3 4 4 3 3 3 4 4 4 4 4 3 4 2 4 4
SUB 2 4 4 2 2 2 3 3 4 4 4 3 4 4 4 3 3
BUD 3 2 2 4 4 2 4 2 2 2 2 4 2 2 2 4 4
HOU 3 3 2 3 3 2 2 2 3 2 3 2 2 3 3 4 6
MAJ 6 4 4 4 3 4 4 4 4 3 4 4 3 4 2 4 4
OMU 2 2 0 2 3 2 2 3 2 2 2 2 2 3 2 3 3
COM 4 2 2 4 4 4 2 4 4 2 4 4 2 4 2 4 4
ENV 4 4 3 3 3 3 4 3 4 3 6 3 4 6 0 4 4
FOR 4 4 6 2 4 3 2 4 4 4 4 4 2 4 0 4 4
MRX 3 4 3 2 3 6 3 4 2 2 3 2 2 3 2 2 2
FIN 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 4 4
WEU 4 2 4 4 4 2 4 4 4 4 2 4 2 2 2 4 4
OVE 4 2 3 3 2 2 2 4 4 3 4 4 2 2 0 4 4
