VARI FREE HUMA SCHE SALA SECU COMP INTE NEAR ATMO SOCI AUTO LIKE NONE OUTD
FARM1 4 189 0 3 2 2 9 3 12 2 1 4 11 12 8
FARM2 1 13 3 10 17 12 4 1 8 3 5 1 9 11 0
ENER 1 9 1 0 4 13 0 2 2 0 2 1 4 6 1
STEE 5 5 2 9 18 5 3 2 6 5 4 0 2 22 0
CHEM 2 7 1 4 15 5 2 1 6 1 2 2 3 5 0
WOOD 2 5 0 4 1 0 3 0 2 1 1 1 1 3 0
AUT 2 3 1 8 16 17 1 8 7 2 4 3 6 24 0
TEXT 3 18 0 6 16 5 4 4 13 4 2 3 6 26 0
PHAR 3 7 3 6 6 0 0 2 6 3 3 0 2 8 0
MANU 0 18 1 12 31 7 0 8 19 11 3 2 10 26 0
CONS 7 63 2 9 31 9 4 6 9 10 3 4 14 35 2
FOOD 2 43 16 7 6 4 7 1 8 2 0 1 6 7 0
SBUS 8 95 23 15 15 2 13 7 9 5 2 3 13 18 1
MBUS 5 32 9 9 17 4 5 4 7 4 3 0 8 18 0
TELE 1 7 2 11 3 14 2 6 3 1 1 2 1 5 0
SO.S 4 10 10 8 2 1 6 4 2 3 1 0 3 1 0
HE.S 3 31 16 15 11 19 5 19 10 2 3 7 24 5 0
TEAC 2 33 27 31 9 18 27 24 3 4 43 8 18 11 1
TRAN 2 19 2 12 12 21 0 1 4 5 5 1 3 13 0
BANK 8 12 4 8 13 21 2 10 4 2 5 6 3 10 0
DOME 0 8 0 4 5 2 7 1 5 7 2 1 2 11 1
O.SE 8 35 14 13 16 10 6 25 6 4 10 9 11 14 0
PRIV 3 26 9 3 12 5 8 8 4 4 2 3 10 8 0
