Example.dat - Geostatistical Environmental Assessment Software        
    5 
Easting
Northing
Arsenic   ppm       G16.9     stored in columns 21-30. 
Cadmium   ppm       F10.3     Also, notice the 'ROW Identifier' below. This
Lead      ppm       F10.3     is not counted as a variable (must use quotes)
   288.0  311.0  .850  11.5  18.25 'Sample 1'    
   285.6  288.0  .630  8.50  30.25 'Sample 2'    
   273.6  269.0  1.02  7.00  20.00 'Sample 3'    
   280.8  249.0  1.02  10.7  19.25 'Sample 4'    
   273.6  231.0  1.01  11.2  151.5 'Sample 5'    
   276.0  206.0  1.47  11.6  37.50 'Sample 6'    
   285.6  182.0  .720  7.20  80.00 'Sample 7'    
   288.0  164.0  .300  5.70  46.00 'Sample 8'    
   292.8  137.0  .360  5.20  10.00 'Sample 9'    
   278.4  119.0  .700  7.20  13.00 'Sample 10'   
   360.0  315.0  .050  3.90  21.25 'Sample 11'    
   355.2  291.0  .710  9.50  16.75 'Sample 12'    
   367.2  272.0  1.32  8.90  55.00 'Sample 13'    
   367.2  250.0  1.33  11.5  122.2 'Sample 14'    
   352.8  226.0  2.08  10.7  127.7 'Sample 15'    
   350.4  203.0  1.54  8.30  25.75 'Sample 16'    
   369.6  180.0  .710  6.10  21.50 'Sample 17'    
   369.6  165.0  .000  6.70  4.000 'Sample 18'    
   357.6  139.0  .240  6.20  4.250 'Sample 19'    
   355.2  118.0  .000  .000  9.500 'Sample 20'    
   434.4  312.0  .530  5.50  24.00 'Sample 21'    
   451.2  295.0  .370  4.00  9.500 'Sample 22'    
   448.8  268.0  .620  7.00  3.500 'Sample 23'     
   432.0  252.0  .120  5.30  16.25 'Sample 24'    
   441.6  228.0  1.06  11.6  18.00 'Sample 25'    
   441.6  204.0  1.58  9.00  56.50 'Sample 26'    
   444.0  182.0  1.57  14.5  118.0 'Sample 27'    
   441.6  160.0  1.09  12.1  31.00 'Sample 28'    
   432.0  140.0  .000  .900  12.25 'Sample 29'    
   444.0  119.0  .000  .000  1.000 'Sample 30'    
   254.4  172.0  .260  3.20  19.75 'Sample 31'    
   254.4  128.0  .000  1.20  4.500 'Sample 32'    
   254.4  299.0  1E31  1.70  14.50 'Sample 33'    
   333.6  301.0  1E31  1.20  25.50 'Sample 34'    
   333.6  271.0  .950  7.60  36.25 'Sample 35'    
   333.6  194.0  .990  11.6  37.50 'Sample 36'    
   333.6  163.0  1.30  8.70  36.00 'Sample 37'    
   412.8  285.0  .510  5.80  32.25 'Sample 38'    
   254.4  257.0  .200  3.80  16.50 'Sample 39'    
   412.8  172.0  1.12  10.4  48.50 'Sample 40'    
   412.8  150.0  1.07  10.0  49.75 'Sample 41'    
   492.0  282.0  .610  7.10  14.25 'Sample 42'    
   492.0  249.0  .420  4.40  23.50 'Sample 43'    
   492.0  315.0  1.19  10.4  302.5 'Sample 44'    
   492.0  150.0  .000  1.60  42.50 'Sample 45'    
   444.0  190.0  1.60  15.0  56.50 'Sample 46'    
   436.8  240.0  .600  3.40  12.25 'Sample 47'    
   360.0  195.0  1.07  6.80  33.25 'Sample 48'    
   345.6  210.0  5.61  10.8  59.00 'Sample 49'    
   254.4  216.0  2.09  14.9  146.7 'Sample 50'    
   280.8  216.0  1.42  9.90  268.0 'Sample 51'    
   307.2  216.0  1.31  11.6  98.00 'Sample 52'    
   333.6  216.0  1.21  6.50  44.00 'Sample 53'    
   360.0  216.0  1.67  10.1  94.25 'Sample 54'    
   386.4  216.0  1.59  11.8  68.00 'Sample 55'    
   412.8  216.0  2.88  11.0  60.75 'Sample 56'    
   439.2  216.0  1.95  16.7  70.00 'Sample 57'    
   465.6  216.0  .930  11.6  25.00 'Sample 58'    
   492.0  216.0  .750  6.90  33.00 'Sample 59'    
   345.6  216.0  1.45  9.90  40.75 'Sample 60'     
