2D-Data set:  transported gossan material (Riotinto, Spain)    
    7
sample
easting   metres
northing  metres
elevation metres
length    metres
gold      g/t
silver    g/t
  577 -2048.7  2200.0 458.7 30.00  0.77   31.42
  611 -2001.5  1949.2 437.5  4.00  0.30   24.50
  583 -2000.1  2049.9 446.3 16.00  0.51   55.81
  576 -2000.0  2249.5 457.9 28.00  0.50   20.93
  581 -1996.1  2146.1 449.0 10.00  1.31   59.40
  607 -1950.7  2000.5 439.5  2.00  1.90  225.00
  580 -1950.4  2099.8 448.1 10.00  0.74   43.50
  585 -1950.4  2199.3 455.0 26.00  0.93   31.15
  409 -1950.0  1975.0 437.2  9.00  1.27   85.50
  575 -1943.7  2289.8 458.2 26.00  0.69   42.35
  408 -1925.0  1975.0 438.0 10.00  1.45   86.93
  582 -1902.3  2152.1 449.7 16.00  0.47   42.25
  584 -1900.1  2249.2 455.6 22.00  0.66   40.41
  411 -1900.0  2025.0 434.2  9.00  1.47   98.21
  578 -1878.4  2331.1 457.2 24.00  0.60   39.83
  412 -1875.0  1975.0 436.1  7.50  1.47   41.20
  410 -1875.0  2025.0 432.9  9.00  1.42  133.96
  587 -1854.2  2211.5 452.3 24.00  0.59   21.27
  608 -1850.0  1999.4 437.1  6.00  2.23   45.67
  413 -1850.0  2000.0 436.3  7.50  1.66   29.00
  574 -1850.0  2301.0 456.4 24.00  0.95   18.21
  579 -1808.8  2343.9 459.4 18.00  0.81   22.46
  586 -1800.1  2250.5 461.5 16.00  1.17   34.44
  337 -1800.0  2775.0 433.3  7.50  1.11   99.50
  606 -1799.8  2049.8 435.3  2.00  1.85   66.00
  612 -1799.4  1947.2 439.1  8.00  1.89   49.50
  588 -1751.1  2352.3 454.3 32.00  0.80   21.69
  590 -1750.2  2251.7 456.3 26.00  0.54   39.08
  570 -1749.8  2300.6 460.5 20.00  1.04   27.35
  609 -1749.7  1999.9 439.5 10.00  1.67   48.80
  604 -1749.2  2200.4 443.7  4.00  2.90   58.25
  589 -1717.6  2265.2 459.4 22.00  0.77   22.45
  613 -1700.4  1951.0 441.6  8.00  0.91  100.12
  573 -1700.4  2349.3 454.9 38.00  0.81   20.87
  628 -1700.0  2150.0 436.1  3.00  1.38   50.50
  629 -1675.0  2175.0 436.9  1.50  1.75   71.00
  605 -1653.0  1997.6 440.8 14.00  0.99   34.29
  569 -1650.7  2299.9 458.3 32.00  0.72   24.59
  632 -1650.0  2050.0 443.0  9.00  0.68   86.50
  624 -1650.0  2075.0 432.1  4.50  0.40   22.67
  625 -1650.0  2100.0 431.5  7.00  1.59   26.86
  626 -1650.0  2125.0 431.3  7.00  1.22   45.07
  627 -1650.0  2150.0 432.5  9.00  1.11   48.83
  620 -1650.0  2175.0 433.3  7.50  0.88   31.00
  631 -1650.0  2200.0 432.5 10.00  1.82   40.95
