"year"	"week"	"aveTemp"	"maxTemp"	"relHum"	"sunHours"	"precip"
1998	1	4.3	7.2	93	3	28
1998	2	4.5	9.2	92	13	19
1998	3	4.7	8.1	91	9	17
1998	4	-1.1	4.1	84	18	8
1998	5	-1	4.9	73	28	2
1998	6	2.5	6.3	90	9	12
1998	7	6.6	10.1	94	3	25
1998	8	5.9	9.9	88	12	8
1998	9	5.1	10.3	84	17	10
1998	10	2	8.5	84	25	46
1998	11	2.2	8.8	69	39	2
1998	12	4.2	10.1	71	37	2
1998	13	5.3	13.1	68	39	6
1998	14	5.3	14.5	85	11	35
1998	15	5.1	10.5	85	11	9
1998	16	5.2	10.8	73	41	13
1998	17	9	14.6	81	31	13
1998	18	10.7	19.9	79	41	13
1998	19	11.3	21.9	73	54	11
1998	20	12.1	20	60	87	5
1998	21	10.6	19	66	71	2
1998	22	13.5	21.2	77	48	7
1998	23	13.3	19.9	75	44	12
1998	24	13	18.5	72	59	13
1998	25	13.9	23.8	68	57	12
1998	26	15.4	21.7	71	57	27
1998	27	13.9	19	82	34	20
1998	28	13.4	19.6	75	57	25
1998	29	13.5	19	73	59	28
1998	30	16.2	26.9	68	68	5
1998	31	15.1	20.4	77	28	30
1998	32	14.8	20.5	76	39	19
1998	33	16.5	23.6	71	51	9
1998	34	14.5	21.5	75	47	26
1998	35	12.8	18.8	69	56	6
1998	36	14.3	19.5	72	48	2
1998	37	14.9	20.3	84	20	41
1998	38	11.7	17.4	83	26	10
1998	39	13	17.2	87	7	1
1998	40	10.2	15.4	78	11	9
1998	41	9	12.8	87	12	27
1998	42	9	13.9	81	31	52
1998	43	9.2	14.3	89	17	52
1998	44	6.3	10.3	85	26	39
1998	45	3.8	7.6	90	14	22
1998	46	4	8	89	13	21
1998	47	-1.2	2.2	79	21	1
1998	48	0.8	3.1	95	1	4
1998	49	-1.1	2.9	93	8	7
1998	50	-2.1	4.8	90	15	12
1998	51	4.3	8.1	94	7	6
1998	52	2.9	8	88	10	34
1998	53	2.8	7.1	92	12	5
1999	1	2.4	9.2	90	8	23
1999	2	1.1	7.2	92	6	22
1999	3	4.9	8.9	92	8	18
1999	4	0.2	8.6	87	17	11
1999	5	2.7	8.6	86	18	9
1999	6	-3.2	2.5	87	28	6
1999	7	1.8	6	87	26	22
1999	8	2.5	7.5	86	21	18
1999	9	3.6	7.3	91	12	45
1999	10	1.2	5.8	86	16	11
1999	11	3.4	7.4	82	15	13
1999	12	4.3	11.4	87	20	14
1999	13	8.1	16.1	69	57	3
1999	14	8.1	13.8	85	23	8
1999	15	4.8	9.1	78	25	27
1999	16	7.9	15.8	72	56	4
1999	17	9.1	17.2	62	74	0
1999	18	9.4	16.2	62	69	7
1999	19	8.2	15.2	81	30	27
1999	20	12.6	20.5	62	78	4
1999	21	13.4	24.1	71	66	7
1999	22	12.6	18.6	77	51	32
1999	23	12.9	18.7	79	52	38
1999	24	14.6	21.3	72	78	17
1999	25	12.7	20.5	72	66	22
1999	26	15.7	22	81	41	18
1999	27	17.5	25.5	64	85	12
1999	28	17.6	26.7	72	63	20
1999	29	17.3	26.1	76	59	16
1999	30	17.7	26.9	58	92	1
1999	31	20	27.8	56	79	11
1999	32	15.6	22.3	74	44	34
1999	33	14.7	20.6	73	54	29
1999	34	15.8	21.7	69	58	5
1999	35	16.2	24.3	70	58	10
1999	36	17.6	24.6	70	62	0
1999	37	15.9	22.4	73	39	7
1999	38	15.7	20.8	87	28	44
1999	39	12.9	17.5	87	23	73
1999	40	10.5	15.4	83	33	23
1999	41	8.6	14.2	73	44	4
1999	42	7.3	11.1	83	19	9
1999	43	10.1	13.8	86	25	9
1999	44	8.9	14	87	15	5
1999	45	5.5	11.1	86	26	2
1999	46	1.6	5.4	84	12	11
1999	47	5.8	9.9	93	3	8
1999	48	3.9	10.1	87	11	40
1999	49	5.2	9.5	92	6	42
1999	50	0.1	6	90	10	18
1999	51	1.6	7.3	93	11	39
1999	52	1.7	6.4	96	5	7
2000	1	4.3	7.5	92	15	10
2000	2	3.2	7.6	92	9	9
2000	3	0.9	8.3	77	26	3
2000	4	3	7.9	89	12	31
2000	5	5.2	8.4	90	15	15
2000	6	4.4	7.2	88	14	25
2000	7	1.3	6.6	86	23	15
2000	8	3	8.2	85	24	14
2000	9	3.5	8.5	77	28	25
2000	10	3.9	9	85	12	24
2000	11	3.8	8.8	77	24	8
2000	12	4.7	11.8	78	32	12
2000	13	3.8	10.2	78	30	3
2000	14	5.3	12.8	66	49	5
2000	15	5.9	10.7	77	23	11
2000	16	9.7	17.6	78	33	17
2000	17	12.9	23.7	75	54	8
2000	18	12.3	19.7	62	74	0
2000	19	14	23.3	48	103	0
2000	20	13.3	26.1	66	68	12
2000	21	11.7	16.6	74	44	37
2000	22	10.8	17	74	54	13
2000	23	13.1	22.8	73	59	14
2000	24	13.1	20.5	67	64	1
2000	25	17.3	29.1	72	63	21
2000	26	12.6	19.3	77	32	8
2000	27	14.4	22.7	68	59	10
2000	28	14.1	20.2	74	54	17
2000	29	15.4	23.3	77	45	6
2000	30	16.2	22.8	80	28	8
2000	31	15.7	21.4	77	44	14
2000	32	14.7	21.3	70	52	6
2000	33	16.3	23.5	74	44	16
2000	34	14.8	21.9	63	67	4
2000	35	13.9	20	76	37	27
2000	36	13.6	19.1	72	35	14
2000	37	13.1	17.6	81	19	32
2000	38	12	17.6	69	54	0
2000	39	13.5	20.6	82	37	10
2000	40	11.7	17	83	27	13
2000	41	10.3	14.9	87	20	13
2000	42	11.2	15.4	86	20	2
2000	43	10.6	15.1	86	18	47
2000	44	7.9	11.8	86	16	37
2000	45	8	10	89	7	33
2000	46	6.2	9.8	92	13	26
2000	47	6.1	8.5	92	9	9
2000	48	7.7	11.1	94	8	18
2000	49	7.6	10.2	92	6	18
2000	50	6.5	11	90	6	32
2000	51	-0.1	4.5	90	15	2
2000	52	-1.2	2.3	90	11	11
2001	1	3.9	6.3	92	1	23
2001	2	0.7	5.5	91	21	3
