time	denmark	greenland
1900	0.1	-8.0
1901	0.5	-8.4
1902	0.9	-8.7
1903	1.2	-9.1
1904	1.6	-9.4
1905	1.5	-9.8
1906	1.3	-10.2
1907	1.2	-10.7
1908	1.4	-11.1
1909	1.6	-10.6
1910	1.7	-10.2
1911	1.9	-9.7
1912	2.1	-9.8
1913	2.0	-9.3
1914	1.8	-8.7
1915	1.7	-8.2
1916	1.6	-8.0
1917	1.4	-7.5
1918	1.3	-6.9
1919	1.3	-8.3
1920	1.4	-9.7
1921	1.4	-9.4
1922	0.6	-9.0
1923	1.2	-9.5
1924	0.6	-8.8
1925	1.3	-8.0
1926	1.0	-7.5
1927	0.6	-7.0
1928	0.8	-6.5
1929	1.1	-6.8
1930	1.3	-7.0
1931	1.6	-7.4
1932	1.8	-7.7
1933	1.8	-7.4
1934	1.8	-7.1
1935	1.8	-7.6
1936	1.8	-7.6
1937	1.8	-7.6
1938	0.8	-7.3
1939	-0.1	-6.9
1940	-1.1	-6.6
1941	-1.0	-6.2
1942	-0.9	-5.7
1943	0.1	-6.3
1944	1.1	-6.8
1945	1.1	-6.2
1946	1.0	-6.6
1947	1.0	-7.0
1948	0.9	-7.5
1949	1.4	-7.9
1950	1.9	-8.3
1951	1.6	-8.0
1952	1.3	-7.7
1953	1.0	-7.4
1954	0.7	-7.6
1955	0.9	-7.9
1956	1.1	-8.1
1957	1.2	-7.6
1958	1.4	-7.2
1959	1.6	-6.7
1960	1.1	-6.2
1961	0.5	-5.9
1962	0.4	-5.6
1963	0.2	-5.3
1964	0.1	-5.0
1965	0.4	-5.3
1966	0.6	-5.7
1967	0.3	-6.0
1968	-0.1	-6.3
1969	0.5	-6.7
1970	1.0	-7.0
1971	1.6	-7.5
1972	2.1	-8.1
1973	2.7	-8.6
1974	2.3	-9.1
1975	1.9	-8.3
1976	1.5	-7.6
1977	1.0	-6.8
1978	0.6	-6.1
1979	0.2	-5.3
1980	-0.2	-5.5
1981	0.3	-6.9
1982	0.8	-8.4
1983	0.5	-9.8
1984	0.2	-9.1
1985	0.8	-9.2
1986	1.4	-8.0
1987	2.0	-6.8
1988	2.6	-7.6
1989	3.2	-8.4
1990	3.8	-9.2
1991	3.4	-10.6
1992	3.0	-10.4
1993	2.5	-10.6
1994	2.1	-9.9
1995	1.7	-9.1
1996	1.8	-8.4
1997	1.8	-7.6
1998	2.4	-7.4
1999	3.0	-7.3
2000	3.6	-7.1
