"case" "glucose" "conc" "diameter"
"1" 1 631000 21.2
"2" 1 592000 21.5
"3" 1 563000 21.3
"4" 1 475000 21
"5" 1 461000 21.5
"6" 1 416000 21.3
"7" 1 385000 20.3
"8" 1 321000 22.7
"9" 1 302000 21.5
"10" 1 199000 22.2
"11" 1 195000 22.6
"12" 1 165000 22.5
"13" 1 137000 23.3
"14" 1 130000 23.5
"15" 1 90000 23.4
"16" 1 66000 23.6
"17" 1 55000 23.9
"18" 1 52000 23.6
"19" 1 46000 23.6
"20" 1 41000 24.5
"21" 1 38000 24
"22" 1 34000 25.4
"23" 1 32000 24.6
"24" 1 30000 24.9
"25" 1 28000 24.9
"26" 1 21000 24.4
"27" 1 20000 25.9
"28" 1 16000 25.5
"29" 1 14500 25.7
"30" 1 13500 25.9
"31" 1 11600 25.7
"32" 1 11000 26.3
"33" 2 630000 19.2
"34" 2 501000 19.5
"35" 2 332000 19.8
"36" 2 285000 21
"37" 2 201000 21
"38" 2 175000 21
"39" 2 129000 21.3
"40" 2 111000 20.5
"41" 2 78000 22.6
"42" 2 70000 22.7
"43" 2 69000 22.2
"44" 2 62000 22.7
"45" 2 35000 24
"46" 2 27000 23.6
"47" 2 24000 23.5
"48" 2 22000 23.3
"49" 2 14000 24.4
"50" 2 13000 24.3
"51" 2 11000 24.2
